,Date,Ticker,average_turnover_1Y,average_turnover_3Y,beta_1Y,beta_3Y,volatility_1Y,volatility_3Y
175,2000-12-01,HRL US Equity,3968634.4025396826,4019519.104126984,-0.0179480548702819,0.017255878922015,0.4389629125144563,0.3520434119887278
176,2000-12-01,HST US Equity,5780804.330519444,8289181.21518373,-0.0230910358974106,0.0021208036442871,0.3021320426166791,0.3567939860441644
177,2000-12-01,HSY US Equity,26202948.81404762,24786027.10851852,-0.0462741534666835,-0.0032230255735974,0.3858468580017025,0.3246490865982895
178,2000-12-01,IFF US Equity,10393079.596825397,11403380.097486774,0.046367769425623,0.0378672472393575,0.3836282033572605,0.3150758069837148
179,2000-12-01,IPG US Equity,45545315.77484127,31189354.47107143,0.0138428521227703,0.0705631232264012,0.4063727313678144,0.3479558407442107
180,2000-12-01,IRM US Equity,7125053.261637302,4907943.0949988095,-0.0146530706456012,0.0031583189904002,0.2322854898879363,0.3635559710357139
181,2000-12-01,ITW US Equity,46010844.93626984,38459659.77526455,0.0302379361650217,0.0493181124222489,0.3802335223656587,0.3498090980796098
182,2000-12-01,J US Equity,2880932.949365079,2482499.174391534,0.0216999707567055,0.025718235926727,0.3030433402583131,0.2814163490947564
183,2000-12-01,K US Equity,20170444.679484125,20588654.34787037,-0.035336113962279,0.0204914007566804,0.4810264401222326,0.3670011537108082
184,2000-12-01,KIM US Equity,4842971.604642857,4353619.761626984,-0.0115691251509719,0.0082863430210026,0.1809697619409178,0.1776643294191066
185,2000-12-01,L US Equity,21173097.88571429,21617803.064285714,0.0390425125683642,0.0391445361285533,0.3552607759161866,0.2817186239925504
186,2000-12-01,LIN US Equity,36227234.306428574,30209435.10653439,-0.0383081906334467,0.0073078962844008,0.4531284206116215,0.3898636429457718
187,2000-12-01,LUV US Equity,37951487.622857146,35746302.99843069,-0.0002048409109272,0.0403239880878698,0.3793382335072018,0.442366872767263
188,2000-12-01,MAR US Equity,36206863.26940913,40637972.04080344,-0.011570988317019,-0.0129327011974796,0.2531260563968966,0.3548480049344088
189,2000-12-01,MCO US Equity,33035120.21706349,28365312.08293651,0.0335140572109152,0.0230086583399845,0.184645887200342,0.2663488854892428
190,2000-12-01,MKC US Equity,4613014.673492064,6109413.918095238,-0.0075255068231928,0.0319754703586879,0.3935926574720212,0.3281839361670485
191,2000-12-01,MO US Equity,60643415.3602381,65464179.98756614,-0.0095734768094655,0.0190780228981214,0.4908089500922916,0.4166888483103801
192,2000-12-01,MTB US Equity,8941224.802777778,5880900.421031746,-0.0117248203859415,-0.0211075190006857,0.3163864971199067,0.276182281893478
193,2000-12-01,NEE US Equity,42031051.7568254,32976168.2384127,-0.0373034372747799,-0.01821215764355,0.3173578442988977,0.2457149771527992
194,2000-12-01,NFLX US Equity,41434505.62336111,37629303.81584259,-0.1003384595385336,-0.0446950121382467,0.561894267613539,0.5020062733259482
195,2000-12-01,NI US Equity,6977234.417142858,4513286.07665344,0.0055641255784681,0.0083457964437384,0.364596472504532,0.2681481420922444
196,2000-12-01,NOC US Equity,27204569.87142857,26678979.33465609,0.0252746095116863,0.0302609956329026,0.3842724858947861,0.3491550328525654
197,2000-12-01,NUE US Equity,18489820.596507937,17585375.36708995,-0.0001152036777249,0.038283503230128,0.402566788910163,0.3754473568819635
198,2000-12-01,OKE US Equity,2297270.686984127,2163310.746031746,-0.0034396795022266,0.0215829342029533,0.291849231218679,0.3005671331505915
