"Date","CLI","CM_1M","CM_3M","CM_6M","CM_1Y","CM_2Y","CM_3Y","CM_5Y","CM_7Y","CM_10Y","CM_20Y","CM_30Y","DJ_ret","Volume_DJ_chg","RF_rate","AA","AAA","BBB","A","GDP_chg","High_Qua_2Y","High_Qua_5Y","High_Qua_10Y","High_Qua_30Y","Ind_Prod_chg","Perso_Cons_Exp_chg","CPI_chg","SaleTrade_chg","Cons_Sentiment","Unempl_Rate","SP500_ret","Volume_SP500_chg","PPIACO_chg","Rend_1M","Rend_3M","Rend_6M","Rend_1Y","Rend_2Y","Rend_3Y","Rend_5Y","Rend_7Y","Rend_10Y","Rend_20Y","Rend_30Y","StressIndicator_SL","Spread_10Y2Y","VIX","beta_0_realized","beta_1_realized","beta_2_realized","lambda_realized"
1998-08-01,99.8412,3.67,5.13,5.25,5.37,5.46,5.44,5.46,5.51,5.46,5.75,5.67,0.0213743767299361,0.114507230155704,5.55,6.06476190476191,6.02904761904762,6.68190476190476,6.25857142857143,0.0168788272605356,5.79,5.98,6.26,6.7,0.0206272348739933,0.00594227504244471,0.00122549019607843,-0.00560879906535527,104.4,4.5,-0.141179546080121,0.729407870417478,-0.00560448358686949,2.21,4.808,4.924,2.254,4.876,4.358,4.912,2.698,5.048,1.178,5.258,0.3406,0.0733333333333333,31.5880952380952,5.63081160237452,-0.621478990484986,0.176217139940161,0.999950705261653
1998-09-01,99.74314,3.67,4.92,4.97,4.87,4.86,4.83,4.91,5.06,5.05,5.49,5.34,-0.119547659869864,0.0817302222512402,5.51,5.90045454545455,5.84545454545455,6.73045454545455,6.15181818181818,0.0168788272605356,5.42,5.59,5.97,6.68,-0.0010466448121963,0.00685232067510544,0.000611995104039087,0.00975491022112385,100.9,4.6,0.059895272321161,0.00308219025049272,-0.0032206119162641,2.21,4.281,4.356,2.254,4.302,4.179,4.238,2.698,4.422,1.178,4.978,0.790475,0.14047619047619,38.2047619047619,5.45471657745052,-0.549557901312601,-1.33431333426393,0.341567679470276
1998-10-01,99.74425,3.67,4.23,4.36,4.28,4.17,4.1,4.1,4.26,4.33,5.09,4.9,0.0122088535980223,0.0594724056072555,5.07,5.67869565217391,5.57782608695652,6.63913043478261,6.02913043478261,0.0189553953871997,5.11,5.55,5.91,6.72,0.00700277343318456,0.00556524071342368,0.00244648318042806,0.0174439087706286,97.4,4.5,0.0848994689483453,-0.0750557317894869,0.00161550888529893,2.21,4.302,4.333,2.254,4.115,4.604,4.229,2.698,4.603,1.178,5.153,1.0908,0.438095238095238,36.6081818181818,5.44766922097137,-0.980682559922495,-2.27525626968871,0.231400254486915
1998-11-01,99.84792,3.67,4.54,4.53,4.33,4.26,4.39,4.39,4.63,4.77,5.49,5.23,0.106119206511385,0.0744000667266904,4.83,5.92761904761905,5.79428571428571,6.95809523809524,6.28904761904762,0.0189553953871997,5.5,5.78,6.1,6.8,-0.000985025988288313,0.00276722011068875,0.00122025625381328,0.00752222267783842,102.7,4.4,0.0556821411714561,-0.452668985726424,-0.00322580645161297,2.21,4.502,4.502,2.254,4.509,4.336,4.484,2.698,4.722,1.178,5.074,0.2936,0.287368421052632,26.223,5.51014486779893,-1.10984842532908,-2.43569897774366,0.341567679470276
1998-12-01,100.017,3.67,4.49,4.51,4.46,4.44,4.44,4.43,4.63,4.67,5.32,5.06,0.0549774706406372,-0.26970751838967,4.68,5.74090909090909,5.56409090909091,6.69954545454545,5.96136363636364,0.0189553953871997,5.41,5.6,5.88,6.59,0.00403877408064135,0.00915982312065711,0.00182815356489963,0.00924778641004997,100.5,4.4,0.0618944950405145,0.144150796735328,-0.00647249190938504,2.21,4.468,4.468,2.254,4.542,4.417,4.538,2.698,4.658,1.178,5.096,0.38565,0.138636363636364,25.4790909090909,5.32787319346857,-0.76406909284483,-1.32046267538539,0.265680148272514
1999-01-01,100.226,3.67,4.49,4.57,4.58,4.58,4.57,4.57,4.75,4.69,5.42,5.15,0.0105351394251523,0.0232257703988454,4.63,5.70761904761905,5.64857142857143,6.71,5.99857142857143,0.0126631282513616,5.46,5.65,5.9,6.59,0.0042239997789566,0.000560085660159748,0.00182481751824803,0.00366521939788234,103.9,4.3,0.0386643271207465,-0.0936230786141089,0.000814332247557115,2.21,4.447,4.468,2.254,4.583,4.176,4.542,2.698,4.653,1.178,5.088,0.31706,0.106842105263158,28.0352631578947,6.67867020551012,-2.18588562915992,-1.92051138902663,0.060272663983774
1999-02-01,100.4387,3.67,4.53,4.56,4.58,4.65,4.65,4.65,4.82,4.75,5.45,5.19,0.00161569392654126,0.205595137950155,4.76,5.95761904761905,5.90380952380952,6.88333333333333,6.23666666666667,0.0126631282513616,5.64,5.89,6.15,6.72,0.00571951341145072,0.00416536327565487,0,0.0100581704219254,108.1,4.4,-0.0320685482604504,0.164093226511289,-0.00488201790073239,2.21,4.657,4.675,2.254,5.15,4.164,5.241,2.698,5.294,1.178,5.58,0.076975,0.122631578947368,28.8226315789474,6.33987838946287,-1.86884619896373,-1.31649545467084,0.060272663983774
1999-03-01,100.6299,3.67,4.71,4.79,4.91,5.2,5.28,5.32,5.49,5.4,5.94,5.67,-0.00657047329278337,-0.0753002554659766,4.81,6.08826086956522,6.04826086956522,6.99739130434783,6.36347826086956,0.0126631282513616,5.75,6.1,6.37,6.9,0.00220799620639567,0.00554171038824758,0.000607164541590821,0.0051580110497238,105.7,4.2,0.0389484652097902,-0.0998257250270159,0.00245298446443165,2.21,4.487,4.48,2.254,4.991,4.253,5.107,2.698,5.242,1.178,5.625,0.0624,0.179565217391304,25.3095652173913,5.49203809315728,-0.946571824849383,0.00467741376866649,0.999950705261653
1999-04-01,100.7973,3.67,4.44,4.51,4.73,5.01,5.08,5.15,5.4,5.27,5.96,5.67,0.0511839917663701,0.223379299412169,4.74,6.02363636363636,5.97636363636364,6.87545454545455,6.27363636363636,0.012168706932512,5.61,6.01,6.31,6.87,0.0022179178187518,0.0108429805967716,0.00667475728155331,0.00712347801615532,104.6,4.3,0.0404918049933456,0.057794293989315,0.00815660685154973,2.21,4.532,4.54,2.254,5.066,4.543,5.211,2.698,5.35,1.178,5.662,-0.00176,0.207727272727273,23.4785714285714,5.56508199090395,-1.17492033842852,-0.0482286549397607,0.652082396417305
1999-05-01,100.9408,3.67,4.62,4.69,4.79,5.08,5.16,5.25,5.44,5.38,5.93,5.67,0.0668872767572002,0.120479688284254,4.74,6.34238095238095,6.28190476190476,7.1552380952381,6.59523809523809,0.012168706932512,5.9,6.35,6.69,7.16,0.00612946900254552,0.00525848858778932,0.000602772754671355,0.00959670271615498,106.8,4.2,-0.0228655203984809,0.164658765199607,0.00889967637540456,2.21,4.635,4.643,2.254,5.401,4.538,5.585,2.698,5.624,1.178,5.83,0.08005,0.285,26.2045,5.60142149981713,-1.15357897414369,-0.0152021972752666,0.797010619527928
